Time,Activity
8:30 AM - 9:45 AM,Chemistry
9:45 AM - 10:15 AM,Mentor Group
10:15 AM - 11:30 AM,English
11:40 AM - 12:55 PM,Computer Science
12:55 PM - 1:45 PM,Lunch
1:45 PM - 3:00 PM,Biology
